record_id,equipment_id,equipment_type,location,visit_date,technician_id,defect_description,true_defect_label,severity,days_to_failure,repair_duration_hrs,downtime_hrs,parts_replaced,data_quality_frequency,data_quality_freshness,data_quality_completeness,data_quality_pertinence,quality_score
WO-00222,EQ-0018,Electric Motor,Utilities Block,2023-11-27,TECH-003,"Bearing play exceeding tolerance, axial movement of 0.39mm observed",bearing_wear,Medium,78.0,10.1,1.5,Capacitor 40µF,0.84,0.88,0.6,0.8,0.784
WO-00223,EQ-0032,Electric Motor,Plant A - Line 2,2023-12-03,TECH-017,"Cavitation noise and vibration in pump, inlet pressure below NPSH. Additionally, coating failure on tank exterior, rust streaks visible below insulation",vibration,Medium,121.0,7.9,10.1,Bearing 6205-2RS,0.57,0.7,0.99,0.77,0.754
WO-00224,EQ-0023,Cooling Tower,Warehouse C,2022-12-26,TECH-019,"Rust deposits blocking strainer, pressure differential 8 PSI across filter",corrosion,Low,63.0,4.3,4.2,Mechanical seal kit,0.94,0.44,0.65,0.6,0.65
WO-00225,EQ-0002,Heat Exchanger,Utilities Block,2023-05-16,TECH-011,"Excessive vibration on pump casing, amplitude 8.8 mm/s at 750 RPM",vibration,Medium,173.0,3.7,2.8,O-ring set,0.73,0.62,0.72,0.7,0.688
WO-00226,EQ-0005,Electric Motor,Utilities Block,2023-06-12,TECH-017,"Chemical attack on pump impeller, material loss estimated 19%. Additionally, wrong lubricant grade used during last service, compatibility issue",corrosion,Low,141.0,3.3,0.1,O-ring set,0.7,0.53,0.98,0.85,0.749
WO-00227,EQ-0030,Gearbox,Plant A - Line 1,2023-02-25,TECH-009,"Hydraulic fluid leak at cylinder rod seal, 149 ml/hr estimated loss",seal_leak,Medium,17.0,10.3,13.1,Oil filter + 5L oil,0.75,0.55,0.8,0.64,0.68
WO-00228,EQ-0008,Heat Exchanger,Plant A - Line 2,2023-11-06,TECH-016,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,Medium,165.0,13.7,19.8,Bearing 6205-2RS,0.34,0.94,0.66,0.58,0.648
WO-00229,EQ-0005,Electric Motor,Utilities Block,2023-06-22,TECH-011,"Grease nipple blocked, bearing running dry for estimated 28 days",lubrication,Low,24.0,4.2,0.8,Coupling insert,0.88,0.84,0.9,0.85,0.867
WO-00230,EQ-0028,Air Compressor,Utilities Block,2022-10-12,TECH-012,"Mechanical seal leaking at shaft interface, fluid loss approx 70 ml/hr",seal_leak,Medium,,15.0,8.2,Oil filter + 5L oil,0.31,0.98,0.8,0.9,0.752
WO-00231,EQ-0043,Air Compressor,Plant A - Line 1,2023-02-02,TECH-010,"Surface corrosion on pipe flanges, pitting depth approx 2.3mm",corrosion,Low,101.0,14.9,20.5,Mechanical seal kit,0.96,0.85,0.65,0.92,0.842
WO-00232,EQ-0011,Cooling Tower,Plant A - Line 1,2022-06-14,TECH-020,"Oil viscosity out of specification, degraded due to thermal cycling",lubrication,Low,,8.3,4.4,Capacitor 40µF,0.82,0.67,0.51,0.43,0.62
WO-00233,EQ-0042,Electric Motor,Plant A - Line 1,2023-12-04,TECH-005,"Bearing play exceeding tolerance, axial movement of 1.64mm observed",bearing_wear,Medium,82.0,7.5,9.8,Oil filter + 5L oil,0.42,0.76,0.66,0.57,0.612
WO-00234,EQ-0006,Gearbox,Warehouse C,2022-02-20,TECH-012,"Cooling fan obstructed by debris, motor surface temperature 90°C",overheating,High,110.0,9.8,2.2,O-ring set,0.96,0.47,0.86,0.66,0.728
WO-00235,EQ-0030,Gearbox,Plant A - Line 1,2023-12-11,TECH-020,"Galvanic corrosion at dissimilar metal joint, wall thickness reduced. Additionally, lubricant contamination detected, water content 20% above limit",corrosion,Low,55.0,11.6,12.3,Oil filter + 5L oil,0.35,0.73,0.53,0.96,0.631
WO-00236,EQ-0031,Heat Exchanger,Warehouse C,2023-08-18,TECH-015,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,44.0,8.3,11.6,O-ring set,0.36,0.83,0.72,0.56,0.631
WO-00237,EQ-0021,Gearbox,Plant B - Line 3,2023-05-19,TECH-015,"Bearing temperature elevated to 96°C during operation, vibration increasing",bearing_wear,Medium,,2.8,3.6,Bearing 6205-2RS,0.43,0.43,0.59,0.68,0.52
WO-00238,EQ-0011,Cooling Tower,Plant A - Line 1,2022-10-18,TECH-019,"Motor winding resistance out of tolerance, possible turn-to-turn short",electrical_fault,High,44.0,12.1,14.9,Contactor 3RT2,0.71,0.98,0.76,0.74,0.81
WO-00239,EQ-0027,Gearbox,Warehouse C,2023-12-26,TECH-020,"Lubricant contamination detected, water content 23% above limit",lubrication,Low,,7.5,10.7,Bearing 6205-2RS,0.53,0.43,0.81,0.67,0.598
WO-00240,EQ-0047,Air Compressor,Utilities Block,2023-02-13,TECH-010,"Automatic lubrication system failed, manual greasing required",lubrication,Low,54.0,3.0,3.5,O-ring set,0.38,0.69,0.72,0.88,0.658
WO-00241,EQ-0020,Electric Motor,Warehouse C,2023-01-13,TECH-002,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,,7.2,4.6,Capacitor 40µF,0.54,0.68,0.61,0.81,0.654
WO-00242,EQ-0010,Hydraulic Press,Plant A - Line 1,2023-07-19,TECH-014,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,12.0,8.5,6.5,Mechanical seal kit,0.63,0.83,0.91,0.61,0.756
WO-00243,EQ-0038,Cooling Tower,Plant A - Line 2,2022-09-29,TECH-020,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,Medium,48.0,3.8,0.4,Oil filter + 5L oil,0.91,0.46,0.77,0.4,0.638
WO-00244,EQ-0008,Heat Exchanger,Plant A - Line 2,2022-05-09,TECH-007,"Bearing vibration amplitude 8.5 mm/s RMS, trending upward over last 45 days",bearing_wear,Medium,49.0,2.2,0.1,Bearing 6205-2RS,0.45,0.79,0.82,0.66,0.686
WO-00245,EQ-0041,Conveyor Belt,Plant A - Line 1,2023-08-23,TECH-002,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,76.0,9.3,11.6,Coupling insert,0.31,0.78,0.86,0.99,0.724
WO-00246,EQ-0032,Electric Motor,Plant A - Line 2,2022-11-20,TECH-016,"VFD fault code F63 logged, overcurrent on deceleration",electrical_fault,High,69.0,14.3,8.9,Mechanical seal kit,0.65,0.96,0.67,0.82,0.782
WO-00247,EQ-0002,Heat Exchanger,Utilities Block,2023-11-21,TECH-006,"Bearing vibration amplitude 9.0 mm/s RMS, trending upward over last 35 days",bearing_wear,Medium,,6.1,4.3,Contactor 3RT2,0.5,0.85,0.83,0.48,0.684
WO-00248,EQ-0013,Electric Motor,Plant B - Line 1,2023-05-31,TECH-008,"Bearing play exceeding tolerance, axial movement of 2.0mm observed",bearing_wear,Medium,17.0,5.7,1.0,Mechanical seal kit,0.69,0.69,1.0,0.87,0.804
WO-00249,EQ-0050,Electric Motor,Plant A - Line 2,2022-04-15,TECH-004,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,Medium,,1.2,0.2,Contactor 3RT2,0.94,0.49,0.65,0.66,0.676
WO-00250,EQ-0033,Centrifugal Pump,Warehouse C,2023-01-06,TECH-017,"Impeller damage suspected, broadband vibration increase 7.8 mm/s. Additionally, electrical cabinet temperature 113°c due to failed ventilation fan",vibration,Medium,,7.4,8.5,Mechanical seal kit,0.36,0.59,0.99,0.5,0.614
WO-00251,EQ-0004,Electric Motor,Warehouse C,2022-07-22,TECH-013,"Motor winding temperature reached 107°C, thermal protection triggered. Additionally, compressor discharge temperature 104°c, intercooler bypass suspected",overheating,High,,1.8,1.5,O-ring set,0.66,0.72,0.61,0.71,0.676
WO-00252,EQ-0020,Electric Motor,Warehouse C,2023-06-04,TECH-015,"Impeller damage suspected, broadband vibration increase 2.4 mm/s",vibration,Medium,13.0,12.2,17.2,Oil filter + 5L oil,0.7,0.4,0.67,0.54,0.57
WO-00253,EQ-0048,Cooling Tower,Plant B - Line 3,2022-09-11,TECH-012,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,133.0,9.5,11.7,Impeller,0.37,0.83,0.91,0.45,0.659
WO-00254,EQ-0004,Electric Motor,Warehouse C,2023-05-17,TECH-017,"Cooling fan obstructed by debris, motor surface temperature 95°C",overheating,High,,7.0,1.7,O-ring set,0.64,0.67,0.98,0.71,0.748
WO-00255,EQ-0034,Air Compressor,Plant B - Line 1,2023-01-19,TECH-019,"Bearing temperature elevated to 94°C during operation, vibration increasing",bearing_wear,Medium,125.0,0.9,0.2,None - monitoring,0.33,0.94,0.94,0.53,0.705
WO-00256,EQ-0048,Cooling Tower,Plant B - Line 3,2023-10-24,TECH-010,"Excessive vibration on pump casing, amplitude 15.9 mm/s at 3000 RPM. Additionally, galvanic corrosion at dissimilar metal joint, wall thickness reduced",vibration,Medium,43.0,11.5,9.9,Capacitor 40µF,0.75,0.79,0.54,0.97,0.754
WO-00257,EQ-0035,Electric Motor,Warehouse C,2023-09-14,TECH-001,"Excessive vibration on pump casing, amplitude 14.0 mm/s at 3000 RPM",vibration,Medium,151.0,1.2,1.6,Coupling insert,0.61,0.65,0.93,0.59,0.698
WO-00258,EQ-0017,Electric Motor,Plant A - Line 2,2022-04-12,TECH-004,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,Medium,106.0,14.3,5.5,Bearing 6205-2RS,0.44,0.85,0.79,0.7,0.702
WO-00259,EQ-0049,Cooling Tower,Utilities Block,2022-09-10,TECH-019,"Excessive vibration on pump casing, amplitude 9.4 mm/s at 750 RPM",vibration,Medium,,10.6,2.0,None - monitoring,0.61,0.91,0.75,0.87,0.787
WO-00260,EQ-0010,Hydraulic Press,Plant A - Line 1,2022-10-07,TECH-007,"Cooling fan obstructed by debris, motor surface temperature 115°C",overheating,High,175.0,6.4,3.4,Capacitor 40µF,0.5,0.5,0.77,0.44,0.556
WO-00261,EQ-0006,Gearbox,Warehouse C,2023-04-09,TECH-015,"Motor winding temperature reached 118°C, thermal protection triggered",overheating,High,170.0,15.7,8.0,Coupling insert,0.31,0.82,0.82,0.4,0.608
WO-00262,EQ-0031,Heat Exchanger,Warehouse C,2023-04-01,TECH-020,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,Medium,,6.0,7.3,Coupling insert,0.57,0.9,0.91,0.99,0.838
WO-00263,EQ-0008,Heat Exchanger,Plant A - Line 2,2022-02-07,TECH-013,"Cooling fan obstructed by debris, motor surface temperature 93°C",overheating,High,156.0,3.7,1.1,Mechanical seal kit,0.91,0.74,0.75,0.73,0.783
WO-00264,EQ-0043,Air Compressor,Plant A - Line 1,2023-12-11,TECH-015,"Earth leakage current 75.0mA detected, isolation check required",electrical_fault,High,,10.0,10.2,Bearing 6205-2RS,0.96,0.78,0.97,0.43,0.802
WO-00265,EQ-0021,Gearbox,Plant B - Line 3,2022-12-09,TECH-008,"Overheating on drive-end bearing, infrared scan shows hot spot at 82°C",overheating,High,147.0,13.0,19.3,None - monitoring,0.97,0.95,0.6,0.6,0.798
WO-00266,EQ-0005,Electric Motor,Utilities Block,2022-03-16,TECH-015,"Excessive vibration on pump casing, amplitude 14.9 mm/s at 1450 RPM",vibration,Medium,,10.1,11.6,Mechanical seal kit,0.36,0.44,0.52,0.59,0.47
WO-00267,EQ-0045,Heat Exchanger,Utilities Block,2022-08-27,TECH-015,"Bearing temperature elevated to 68°C during operation, vibration increasing",bearing_wear,Medium,,12.7,11.9,None - monitoring,0.62,0.66,0.81,0.46,0.648
WO-00268,EQ-0042,Electric Motor,Plant A - Line 1,2023-03-08,TECH-002,"Automatic lubrication system failed, manual greasing required",lubrication,Low,159.0,7.4,2.7,Bearing 6205-2RS,0.39,0.75,0.76,0.79,0.67
WO-00269,EQ-0023,Cooling Tower,Warehouse C,2022-02-25,TECH-007,"Lip seal deteriorated, grease escaping from gearbox output shaft",seal_leak,Medium,51.0,15.6,15.0,Mechanical seal kit,0.54,0.8,0.85,0.99,0.786
WO-00270,EQ-0039,Hydraulic Press,Plant B - Line 3,2023-12-11,TECH-011,"Capacitor bank showing reduced capacitance, power factor 0.8 below target",electrical_fault,High,160.0,3.8,2.7,None - monitoring,0.44,0.51,0.99,0.62,0.634
WO-00271,EQ-0005,Electric Motor,Utilities Block,2022-07-02,TECH-001,"Compressor discharge temperature 72°C, intercooler bypass suspected",overheating,High,46.0,13.6,18.6,O-ring set,0.57,0.87,0.56,0.96,0.736
WO-00272,EQ-0020,Electric Motor,Warehouse C,2023-09-06,TECH-020,"Heat exchanger fouling reducing efficiency, outlet temp 116°C above setpoint",overheating,High,163.0,4.3,0.3,Contactor 3RT2,0.9,0.58,0.57,0.55,0.652
WO-00273,EQ-0041,Conveyor Belt,Plant A - Line 1,2023-06-16,TECH-016,"Coating failure on tank exterior, rust streaks visible below insulation",corrosion,Low,83.0,11.5,9.1,Impeller,0.63,0.75,0.82,0.87,0.762
WO-00274,EQ-0042,Electric Motor,Plant A - Line 1,2022-07-03,TECH-003,"Bearing temperature elevated to 77°C during operation, vibration increasing. Additionally, cavitation noise and vibration in pump, inlet pressure below npsh",bearing_wear,Medium,68.0,10.5,5.7,Oil filter + 5L oil,0.89,0.71,0.82,0.87,0.814
WO-00275,EQ-0015,Conveyor Belt,Plant B - Line 1,2023-07-11,TECH-012,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,Medium,,0.6,0.3,None - monitoring,0.96,0.89,0.88,0.41,0.809
WO-00276,EQ-0042,Electric Motor,Plant A - Line 1,2022-07-12,TECH-018,"Impeller damage suspected, broadband vibration increase 5.6 mm/s",vibration,Medium,179.0,7.0,4.6,Bearing 6205-2RS,0.56,0.75,0.56,0.97,0.699
WO-00277,EQ-0001,Air Compressor,Plant A - Line 1,2023-08-05,TECH-013,Belt tension incorrect causing vibration and premature wear,vibration,Medium,,9.8,8.9,None - monitoring,0.44,0.63,0.77,0.51,0.594
WO-00278,EQ-0007,Heat Exchanger,Utilities Block,2022-10-18,TECH-002,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,Medium,75.0,10.7,1.1,Coupling insert,0.66,0.5,0.93,0.65,0.678
WO-00279,EQ-0011,Cooling Tower,Plant A - Line 1,2022-07-27,TECH-005,"Lubricant contamination detected, water content 13% above limit",lubrication,Low,176.0,7.6,2.3,Impeller,0.34,0.64,0.9,0.72,0.646
WO-00280,EQ-0037,Gearbox,Warehouse C,2023-11-14,TECH-007,"Grease nipple blocked, bearing running dry for estimated 21 days. Additionally, earth leakage current 75.9ma detected, isolation check required",lubrication,Low,,11.3,12.2,Impeller,0.59,0.86,0.56,0.62,0.67
WO-00281,EQ-0049,Cooling Tower,Utilities Block,2022-07-19,TECH-005,Grease discolouration and hardening noted around bearing cap,bearing_wear,Medium,3.0,4.4,4.7,Coupling insert,0.77,0.68,0.73,0.45,0.669
WO-00282,EQ-0043,Air Compressor,Plant A - Line 1,2023-11-25,TECH-002,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,Medium,113.0,6.1,2.0,Capacitor 40µF,0.45,0.82,0.92,0.89,0.767
WO-00283,EQ-0042,Electric Motor,Plant A - Line 1,2022-07-14,TECH-014,"Earth leakage current 33.3mA detected, isolation check required. Additionally, unusual noise detected in bearing housing, suspected wear on inner race",electrical_fault,High,,15.0,8.9,Mechanical seal kit,0.46,0.46,0.66,0.41,0.5
WO-00284,EQ-0042,Electric Motor,Plant A - Line 1,2023-12-06,TECH-020,"Seal face wear visible during inspection, scoring on stationary ring. Additionally, capacitor bank showing reduced capacitance, power factor 0.79 below target",seal_leak,Medium,171.0,8.0,4.0,Impeller,0.57,0.78,0.62,0.75,0.682
WO-00285,EQ-0001,Air Compressor,Plant A - Line 1,2022-09-01,TECH-011,"Lip seal deteriorated, grease escaping from gearbox output shaft",seal_leak,Medium,,9.8,13.9,O-ring set,0.49,0.79,0.88,0.71,0.722
WO-00286,EQ-0027,Gearbox,Warehouse C,2022-11-26,TECH-003,"Misalignment between motor and gearbox shaft, 15.6 mm/s 2X vibration",vibration,Medium,162.0,0.6,0.8,Contactor 3RT2,0.34,1.0,0.97,0.48,0.723
WO-00287,EQ-0012,Conveyor Belt,Warehouse C,2023-10-13,TECH-013,"Impeller damage suspected, broadband vibration increase 5.8 mm/s",vibration,Medium,124.0,1.7,2.5,None - monitoring,0.42,0.66,0.75,0.84,0.658
WO-00288,EQ-0049,Cooling Tower,Utilities Block,2023-07-30,TECH-016,Grease discolouration and hardening noted around bearing cap,bearing_wear,Medium,,1.6,0.3,Contactor 3RT2,0.41,0.51,0.51,0.7,0.523
WO-00289,EQ-0047,Air Compressor,Utilities Block,2022-02-05,TECH-001,"Overheating on drive-end bearing, infrared scan shows hot spot at 91°C. Additionally, grease nipple blocked, bearing running dry for estimated 25 days",overheating,High,,6.1,6.5,O-ring set,0.48,0.67,0.84,0.55,0.641
WO-00290,EQ-0039,Hydraulic Press,Plant B - Line 3,2023-12-10,TECH-010,Belt tension incorrect causing vibration and premature wear,vibration,Medium,137.0,10.7,6.1,None - monitoring,0.83,0.95,0.93,0.47,0.819
WO-00291,EQ-0037,Gearbox,Warehouse C,2023-03-18,TECH-016,"Rust deposits blocking strainer, pressure differential 29 PSI across filter",corrosion,Low,96.0,3.4,0.7,O-ring set,0.65,0.47,0.78,0.53,0.604
WO-00292,EQ-0013,Electric Motor,Plant B - Line 1,2023-05-12,TECH-001,"Bearing temperature elevated to 116°C during operation, vibration increasing",bearing_wear,Medium,,2.1,0.2,Bearing 6205-2RS,0.37,0.71,0.5,0.76,0.582
WO-00293,EQ-0049,Cooling Tower,Utilities Block,2022-04-13,TECH-005,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,Medium,179.0,6.7,8.4,Bearing 6205-2RS,0.72,0.92,0.64,0.82,0.78
WO-00294,EQ-0016,Air Compressor,Warehouse C,2022-11-30,TECH-020,"Compressor discharge temperature 108°C, intercooler bypass suspected",overheating,High,,4.1,3.0,Mechanical seal kit,0.54,0.96,0.97,0.69,0.804
WO-00295,EQ-0043,Air Compressor,Plant A - Line 1,2022-04-29,TECH-003,"Oil level low in gearbox sight glass, top-up of 1.3L required",lubrication,Low,139.0,4.2,1.3,Mechanical seal kit,0.6,0.83,0.58,0.96,0.736
WO-00296,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-09-08,TECH-013,Internal corrosion found on heat exchanger tubes during inspection,corrosion,Low,88.0,6.3,6.8,Capacitor 40µF,0.98,0.66,0.62,0.56,0.71
WO-00297,EQ-0019,Centrifugal Pump,Plant B - Line 1,2023-05-27,TECH-002,"Unusual noise detected in bearing housing, suspected wear on inner race. Additionally, structural resonance observed at 750 rpm, bolts found loose on baseplate",bearing_wear,Medium,,2.8,1.2,Coupling insert,0.52,0.99,0.56,1.0,0.767
WO-00298,EQ-0046,Electric Motor,Plant B - Line 3,2023-05-15,TECH-006,Belt tension incorrect causing vibration and premature wear,vibration,Medium,,5.1,6.2,Bearing 6205-2RS,0.68,0.6,0.84,0.99,0.758
WO-00299,EQ-0049,Cooling Tower,Utilities Block,2023-04-14,TECH-016,"Motor winding temperature reached 98°C, thermal protection triggered",overheating,High,,9.4,6.2,Oil filter + 5L oil,0.93,0.53,0.9,0.52,0.72
WO-00300,EQ-0042,Electric Motor,Plant A - Line 1,2023-08-31,TECH-002,"Bearing vibration amplitude 12.9 mm/s RMS, trending upward over last 12 days",bearing_wear,Medium,39.0,10.2,6.2,Mechanical seal kit,0.47,0.69,0.84,0.97,0.728
WO-00301,EQ-0042,Electric Motor,Plant A - Line 1,2023-06-06,TECH-009,"Capacitor bank showing reduced capacitance, power factor 0.69 below target",electrical_fault,High,151.0,9.4,8.1,Mechanical seal kit,0.86,0.51,0.74,0.79,0.711
WO-00302,EQ-0028,Air Compressor,Utilities Block,2024-01-01,TECH-007,"Oil seepage observed around pump casing seal, minor pooling on floor",seal_leak,Medium,,10.6,12.0,Mechanical seal kit,0.43,0.76,0.59,0.73,0.629
WO-00303,EQ-0021,Gearbox,Plant B - Line 3,2022-09-12,TECH-018,"Bearing temperature elevated to 101°C during operation, vibration increasing",bearing_wear,Medium,133.0,14.5,6.4,Impeller,0.4,0.69,0.66,0.95,0.662
WO-00304,EQ-0023,Cooling Tower,Warehouse C,2022-05-12,TECH-009,"Cavitation noise and vibration in pump, inlet pressure below NPSH",vibration,Medium,,7.0,5.8,None - monitoring,0.75,0.5,0.73,0.97,0.714
WO-00305,EQ-0044,Electric Motor,Plant B - Line 1,2023-03-21,TECH-018,Electrical cabinet temperature 74°C due to failed ventilation fan,overheating,High,155.0,4.3,1.7,Mechanical seal kit,0.78,0.64,0.66,0.45,0.642
WO-00306,EQ-0022,Heat Exchanger,Plant A - Line 2,2022-04-08,TECH-009,Internal corrosion found on heat exchanger tubes during inspection,corrosion,Low,180.0,9.4,4.0,Mechanical seal kit,0.93,0.5,0.97,0.63,0.751
WO-00307,EQ-0023,Cooling Tower,Warehouse C,2022-02-24,TECH-008,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,Low,,10.4,5.8,None - monitoring,0.79,0.51,0.99,0.88,0.774
WO-00308,EQ-0033,Centrifugal Pump,Warehouse C,2022-06-19,TECH-016,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,Medium,22.0,12.0,10.0,Bearing 6205-2RS,0.97,0.65,0.75,0.84,0.793
WO-00309,EQ-0031,Heat Exchanger,Warehouse C,2023-06-25,TECH-006,Belt tension incorrect causing vibration and premature wear,vibration,Medium,,1.2,0.8,Capacitor 40µF,0.93,0.5,0.68,0.48,0.648
WO-00310,EQ-0023,Cooling Tower,Warehouse C,2023-08-06,TECH-017,"Grease nipple blocked, bearing running dry for estimated 10 days",lubrication,Low,79.0,14.9,21.4,Bearing 6205-2RS,0.95,0.94,0.92,0.43,0.835
WO-00311,EQ-0001,Air Compressor,Plant A - Line 1,2022-01-08,TECH-012,"Misalignment between motor and gearbox shaft, 2.1 mm/s 2X vibration",vibration,Medium,169.0,4.4,3.1,Oil filter + 5L oil,0.56,0.94,0.77,0.56,0.726
WO-00312,EQ-0029,Conveyor Belt,Plant A - Line 1,2022-04-21,TECH-001,"Motor winding resistance out of tolerance, possible turn-to-turn short. Additionally, seal face wear visible during inspection, scoring on stationary ring",electrical_fault,High,,2.5,1.3,Contactor 3RT2,0.34,0.9,0.71,0.76,0.684
WO-00313,EQ-0001,Air Compressor,Plant A - Line 1,2023-05-01,TECH-017,"Heat exchanger fouling reducing efficiency, outlet temp 83°C above setpoint",overheating,High,,13.1,13.8,O-ring set,0.43,0.91,0.81,0.49,0.681
WO-00314,EQ-0008,Heat Exchanger,Plant A - Line 2,2022-03-04,TECH-012,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,Medium,165.0,1.3,0.2,Oil filter + 5L oil,0.96,0.83,0.62,0.94,0.832
WO-00315,EQ-0012,Conveyor Belt,Warehouse C,2022-05-14,TECH-007,"Unusual noise detected in bearing housing, suspected wear on inner race. Additionally, capacitor bank showing reduced capacitance, power factor 0.67 below target",bearing_wear,Medium,,9.8,0.6,Contactor 3RT2,0.79,0.96,0.54,0.73,0.767
WO-00316,EQ-0022,Heat Exchanger,Plant A - Line 2,2022-05-01,TECH-017,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,Medium,,1.5,0.9,Bearing 6205-2RS,0.42,0.56,0.98,0.57,0.632
WO-00317,EQ-0037,Gearbox,Warehouse C,2022-08-18,TECH-009,"Bearing vibration amplitude 8.4 mm/s RMS, trending upward over last 37 days. Additionally, lip seal deteriorated, grease escaping from gearbox output shaft",bearing_wear,Medium,61.0,5.0,4.8,O-ring set,0.49,0.87,0.82,0.55,0.698
WO-00318,EQ-0014,Cooling Tower,Plant B - Line 1,2022-01-11,TECH-006,"Excessive vibration on pump casing, amplitude 11.7 mm/s at 3000 RPM",vibration,Medium,,3.9,5.6,Oil filter + 5L oil,0.98,0.72,0.99,0.87,0.882
WO-00319,EQ-0050,Electric Motor,Plant A - Line 2,2023-03-21,TECH-006,Belt tension incorrect causing vibration and premature wear,vibration,Medium,123.0,2.0,0.5,O-ring set,0.43,0.69,0.86,0.79,0.688
WO-00320,EQ-0002,Heat Exchanger,Utilities Block,2022-01-13,TECH-001,"Oil seepage observed around pump casing seal, minor pooling on floor",seal_leak,Medium,,6.4,0.2,Bearing 6205-2RS,0.39,0.86,0.63,0.96,0.705
WO-00321,EQ-0039,Hydraulic Press,Plant B - Line 3,2022-01-25,TECH-008,"Unusual noise detected in bearing housing, suspected wear on inner race. Additionally, metal particles found in oil sample, bearing degradation confirmed",bearing_wear,Medium,99.0,2.8,2.8,None - monitoring,0.78,0.83,0.95,0.7,0.822
WO-00322,EQ-0008,Heat Exchanger,Plant A - Line 2,2023-12-05,TECH-016,"Dynamic seal failure suspected, pressure drop of 7% noted in system",seal_leak,Medium,74.0,5.9,0.9,Coupling insert,0.95,0.89,0.86,0.45,0.809
WO-00323,EQ-0001,Air Compressor,Plant A - Line 1,2023-06-30,TECH-014,"Lubricant contamination detected, water content 35% above limit. Additionally, grease nipple blocked, bearing running dry for estimated 29 days",lubrication,Low,59.0,6.5,5.7,Capacitor 40µF,0.7,0.82,0.87,0.82,0.802
WO-00324,EQ-0016,Air Compressor,Warehouse C,2023-03-08,TECH-005,"Cooling fan obstructed by debris, motor surface temperature 119°C",overheating,High,58.0,1.4,0.3,None - monitoring,0.81,0.82,0.71,0.43,0.712
WO-00325,EQ-0007,Heat Exchanger,Utilities Block,2022-01-12,TECH-018,"Insulation resistance measured at 6 MΩ, below 100 MΩ minimum. Additionally, earth leakage current 16.7ma detected, isolation check required",electrical_fault,High,109.0,11.0,14.5,Oil filter + 5L oil,0.94,0.7,0.85,0.65,0.788
WO-00326,EQ-0011,Cooling Tower,Plant A - Line 1,2022-11-17,TECH-002,"Mechanical seal leaking at shaft interface, fluid loss approx 107 ml/hr",seal_leak,Medium,,6.8,3.9,Coupling insert,0.75,0.52,0.55,0.45,0.571
WO-00327,EQ-0039,Hydraulic Press,Plant B - Line 3,2022-03-29,TECH-016,"Rust deposits blocking strainer, pressure differential 11 PSI across filter",corrosion,Low,,9.3,7.9,Bearing 6205-2RS,0.33,0.46,0.65,0.99,0.581
WO-00328,EQ-0049,Cooling Tower,Utilities Block,2023-05-04,TECH-015,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,Medium,10.0,5.0,1.1,Mechanical seal kit,0.92,0.46,0.86,0.93,0.769
WO-00329,EQ-0044,Electric Motor,Plant B - Line 1,2023-12-01,TECH-005,"Capacitor bank showing reduced capacitance, power factor 0.68 below target",electrical_fault,High,54.0,16.0,14.6,Impeller,0.37,0.41,0.88,0.59,0.554
WO-00330,EQ-0006,Gearbox,Warehouse C,2023-03-29,TECH-019,"Structural resonance observed at 1450 RPM, bolts found loose on baseplate",vibration,Medium,,2.7,0.5,Impeller,0.33,0.92,0.7,0.91,0.716
WO-00331,EQ-0044,Electric Motor,Plant B - Line 1,2023-04-23,TECH-003,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient. Additionally, lubricant contamination detected, water content 29% above limit",bearing_wear,Medium,137.0,14.5,10.1,O-ring set,0.81,0.95,0.96,0.86,0.9
WO-00332,EQ-0013,Electric Motor,Plant B - Line 1,2023-09-08,TECH-014,"Motor winding temperature reached 85°C, thermal protection triggered",overheating,High,,1.5,1.8,Impeller,0.45,0.53,0.51,0.86,0.571
WO-00333,EQ-0028,Air Compressor,Utilities Block,2022-12-17,TECH-014,"Hydraulic fluid leak at cylinder rod seal, 25 ml/hr estimated loss",seal_leak,Medium,,5.1,1.5,Impeller,0.63,0.81,0.58,0.82,0.71
