record_id,equipment_id,equipment_type,location,visit_date,defect_description,true_defect_label,cluster,defect_cluster_name,severity,days_to_failure,repair_duration_hrs,downtime_hrs,parts_replaced,quality_score,data_quality_frequency,data_quality_freshness,data_quality_completeness,data_quality_pertinence
WO-00397,EQ-0047,Air Compressor,Utilities Block,2022-07-15,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient",bearing_wear,12,Cluster 12,Medium,,11.9,5.5,Oil filter + 5L oil,0.522,0.42,0.48,0.66,0.54
WO-00398,EQ-0013,Electric Motor,Plant B - Line 1,2022-06-24,"Oil seepage observed around pump casing seal, minor pooling on floor",seal_leak,9,Cluster 9,Medium,150.0,6.5,5.2,None - monitoring,0.731,0.54,0.89,0.9,0.52
WO-00399,EQ-0045,Heat Exchanger,Utilities Block,2023-01-02,"Wrong lubricant grade used during last service, compatibility issue. Additionally, contactor pitting observed, intermittent contact causing voltage dips",lubrication,6,Corrosion & Erosion,Low,120.0,9.0,10.2,Impeller,0.78,0.72,0.82,0.87,0.68
WO-00400,EQ-0016,Air Compressor,Warehouse C,2022-11-04,"Dynamic seal failure suspected, pressure drop of 19% noted in system",seal_leak,7,Cluster 7,Medium,,15.5,21.9,O-ring set,0.718,0.39,0.6,0.98,0.98
WO-00401,EQ-0020,Electric Motor,Warehouse C,2023-12-03,Internal corrosion found on heat exchanger tubes during inspection,corrosion,8,Cluster 8,Low,96.0,0.6,0.1,Impeller,0.65,0.68,0.64,0.61,0.68
WO-00402,EQ-0025,Centrifugal Pump,Plant A - Line 1,2022-12-22,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,10,Cluster 10,Low,151.0,0.9,1.2,Contactor 3RT2,0.702,0.56,0.6,0.91,0.77
WO-00403,EQ-0049,Cooling Tower,Utilities Block,2023-05-08,"Motor winding temperature reached 106°C, thermal protection triggered",overheating,2,Mechanical Seal Leak,High,108.0,3.3,2.0,Mechanical seal kit,0.594,0.63,0.45,0.84,0.46
WO-00404,EQ-0026,Cooling Tower,Warehouse C,2023-10-12,"Surface corrosion on pipe flanges, pitting depth approx 0.87mm",corrosion,10,Cluster 10,Low,116.0,8.3,9.7,Capacitor 40µF,0.664,0.98,0.47,0.59,0.65
WO-00405,EQ-0049,Cooling Tower,Utilities Block,2023-04-17,Electrical cabinet temperature 70°C due to failed ventilation fan,overheating,2,Mechanical Seal Leak,High,154.0,11.1,4.2,Oil filter + 5L oil,0.606,0.84,0.41,0.63,0.58
WO-00406,EQ-0027,Gearbox,Warehouse C,2023-03-18,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient",bearing_wear,12,Cluster 12,Medium,,5.9,4.1,Contactor 3RT2,0.937,0.94,0.94,0.97,0.89
WO-00407,EQ-0037,Gearbox,Warehouse C,2022-02-20,"Motor winding temperature reached 85°C, thermal protection triggered. Additionally, rust deposits blocking strainer, pressure differential 30 psi across filter",overheating,4,Lubrication Issue,High,122.0,3.8,5.3,O-ring set,0.752,0.49,0.8,0.8,0.95
WO-00408,EQ-0044,Electric Motor,Plant B - Line 1,2022-08-15,"Mechanical seal leaking at shaft interface, fluid loss approx 38 ml/hr",seal_leak,1,Vibration & Imbalance,Medium,74.0,11.8,10.8,None - monitoring,0.73,0.74,0.6,0.69,0.96
WO-00409,EQ-0001,Air Compressor,Plant A - Line 1,2022-12-20,"Dynamic seal failure suspected, pressure drop of 39% noted in system",seal_leak,7,Cluster 7,Medium,136.0,6.2,2.7,Impeller,0.621,0.77,0.42,0.81,0.5
WO-00410,EQ-0023,Cooling Tower,Warehouse C,2022-04-24,"Structural resonance observed at 1000 RPM, bolts found loose on baseplate",vibration,2,Mechanical Seal Leak,Medium,46.0,13.9,16.0,Capacitor 40µF,0.732,0.59,0.85,0.71,0.76
WO-00411,EQ-0021,Gearbox,Plant B - Line 3,2022-06-10,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,10,Cluster 10,Low,,3.3,1.4,Coupling insert,0.746,0.83,0.79,0.84,0.46
WO-00412,EQ-0038,Cooling Tower,Plant A - Line 2,2023-04-29,"Motor winding resistance out of tolerance, possible turn-to-turn short",electrical_fault,11,Cluster 11,High,,15.3,0.5,None - monitoring,0.781,0.69,0.92,0.93,0.5
WO-00413,EQ-0024,Heat Exchanger,Warehouse C,2022-09-05,"Phase imbalance detected, current draw 13% higher on L2",electrical_fault,5,Electrical Fault,High,,15.6,11.7,Coupling insert,0.834,0.91,0.95,0.62,0.83
WO-00414,EQ-0005,Electric Motor,Utilities Block,2022-01-25,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,5,Electrical Fault,Medium,16.0,5.0,3.0,Coupling insert,0.768,0.58,0.96,0.81,0.66
WO-00415,EQ-0008,Heat Exchanger,Plant A - Line 2,2023-09-01,"Grease discolouration and hardening noted around bearing cap. Additionally, corrosion under insulation (cui) suspected on horizontal pipe section",bearing_wear,10,Cluster 10,Medium,36.0,2.8,1.2,Coupling insert,0.75,0.69,0.83,0.65,0.83
WO-00416,EQ-0037,Gearbox,Warehouse C,2023-05-12,"Structural resonance observed at 1500 RPM, bolts found loose on baseplate. Additionally, electrical cabinet temperature 97°c due to failed ventilation fan",vibration,2,Mechanical Seal Leak,Medium,,14.0,10.1,None - monitoring,0.654,0.31,0.97,0.67,0.59
WO-00417,EQ-0015,Conveyor Belt,Plant B - Line 1,2023-01-08,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,11,Cluster 11,Medium,,6.7,1.0,Capacitor 40µF,0.667,0.35,0.73,0.77,0.84
WO-00418,EQ-0006,Gearbox,Warehouse C,2022-02-22,"Oil level low in gearbox sight glass, top-up of 3.0L required. Additionally, hydraulic fluid leak at cylinder rod seal, 138 ml/hr estimated loss",lubrication,8,Cluster 8,Low,163.0,1.6,1.1,Mechanical seal kit,0.645,0.63,0.46,0.79,0.76
WO-00419,EQ-0020,Electric Motor,Warehouse C,2022-06-30,"Cavitation noise and vibration in pump, inlet pressure below NPSH",vibration,4,Lubrication Issue,Medium,124.0,8.5,12.1,Oil filter + 5L oil,0.7,0.91,0.55,0.64,0.74
WO-00420,EQ-0020,Electric Motor,Warehouse C,2023-10-16,"Excessive vibration on pump casing, amplitude 9.8 mm/s at 1500 RPM",vibration,9,Cluster 9,Medium,,13.2,3.8,Contactor 3RT2,0.632,0.45,0.7,0.66,0.72
WO-00421,EQ-0007,Heat Exchanger,Utilities Block,2022-10-03,"VFD fault code F67 logged, overcurrent on deceleration",electrical_fault,7,Cluster 7,High,68.0,7.8,10.0,Coupling insert,0.62,0.4,0.6,0.68,0.85
WO-00422,EQ-0029,Conveyor Belt,Plant A - Line 1,2023-11-09,"Lip seal deteriorated, grease escaping from gearbox output shaft",seal_leak,2,Mechanical Seal Leak,Medium,,5.1,2.9,None - monitoring,0.691,0.85,0.6,0.78,0.52
WO-00423,EQ-0014,Cooling Tower,Plant B - Line 1,2023-08-24,"Structural resonance observed at 3000 RPM, bolts found loose on baseplate",vibration,2,Mechanical Seal Leak,Medium,26.0,1.4,0.7,Coupling insert,0.694,0.61,0.57,0.74,0.93
WO-00424,EQ-0005,Electric Motor,Utilities Block,2023-06-28,"O-ring compression set failure, intermittent leak under high pressure",seal_leak,7,Cluster 7,Medium,,11.2,2.4,Coupling insert,0.821,0.97,0.62,0.89,0.85
WO-00425,EQ-0014,Cooling Tower,Plant B - Line 1,2023-07-26,"Bearing play exceeding tolerance, axial movement of 1.21mm observed. Additionally, contactor pitting observed, intermittent contact causing voltage dips",bearing_wear,11,Cluster 11,Medium,,8.7,10.4,Impeller,0.874,0.73,1.0,0.88,0.86
WO-00426,EQ-0028,Air Compressor,Utilities Block,2022-10-28,"Galvanic corrosion at dissimilar metal joint, wall thickness reduced",corrosion,10,Cluster 10,Low,100.0,0.8,0.3,O-ring set,0.609,0.48,0.53,0.84,0.6
WO-00427,EQ-0030,Gearbox,Plant A - Line 1,2022-03-12,"Phase imbalance detected, current draw 17% higher on L2",electrical_fault,5,Electrical Fault,High,81.0,14.9,14.7,Oil filter + 5L oil,0.744,0.41,0.99,0.62,0.95
WO-00428,EQ-0050,Electric Motor,Plant A - Line 2,2023-01-04,"Cooling fan obstructed by debris, motor surface temperature 93°C. Additionally, lip seal deteriorated, grease escaping from gearbox output shaft",overheating,2,Mechanical Seal Leak,High,131.0,2.2,1.5,None - monitoring,0.762,0.86,0.64,0.93,0.61
WO-00429,EQ-0020,Electric Motor,Warehouse C,2023-08-02,"Galvanic corrosion at dissimilar metal joint, wall thickness reduced",corrosion,10,Cluster 10,Low,133.0,2.9,3.0,Bearing 6205-2RS,0.672,0.72,0.53,0.87,0.58
WO-00430,EQ-0040,Gearbox,Plant A - Line 1,2022-09-29,"Cooling fan obstructed by debris, motor surface temperature 91°C",overheating,2,Mechanical Seal Leak,High,,0.9,0.0,Impeller,0.682,0.32,0.92,0.96,0.43
WO-00431,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-10-15,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,10,Cluster 10,Low,122.0,7.8,10.6,Coupling insert,0.744,0.76,0.62,0.81,0.83
WO-00432,EQ-0031,Heat Exchanger,Warehouse C,2022-07-09,"Impeller damage suspected, broadband vibration increase 4.0 mm/s",vibration,3,Overheating,Medium,,5.2,5.5,Capacitor 40µF,0.807,0.66,0.99,0.63,0.94
WO-00433,EQ-0021,Gearbox,Plant B - Line 3,2023-08-09,Electrical cabinet temperature 74°C due to failed ventilation fan,overheating,2,Mechanical Seal Leak,High,89.0,3.4,4.4,None - monitoring,0.662,0.62,0.53,0.81,0.73
WO-00434,EQ-0008,Heat Exchanger,Plant A - Line 2,2023-03-13,"Earth leakage current 46.2mA detected, isolation check required",electrical_fault,5,Electrical Fault,High,,15.5,2.9,Impeller,0.672,0.88,0.47,0.86,0.48
WO-00435,EQ-0023,Cooling Tower,Warehouse C,2023-07-31,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,7,Cluster 7,Medium,,8.6,10.3,Capacitor 40µF,0.722,0.46,0.97,0.77,0.62
WO-00436,EQ-0007,Heat Exchanger,Utilities Block,2023-05-03,"Earth leakage current 8.7mA detected, isolation check required",electrical_fault,5,Electrical Fault,High,35.0,11.7,5.3,Oil filter + 5L oil,0.758,0.8,0.8,0.6,0.84
WO-00437,EQ-0039,Hydraulic Press,Plant B - Line 3,2022-10-10,"Oil level low in gearbox sight glass, top-up of 0.8L required",lubrication,2,Mechanical Seal Leak,Low,103.0,2.4,2.7,Contactor 3RT2,0.694,0.61,0.8,0.88,0.41
WO-00438,EQ-0008,Heat Exchanger,Plant A - Line 2,2022-02-11,"Cavitation noise and vibration in pump, inlet pressure below NPSH",vibration,4,Lubrication Issue,Medium,66.0,2.2,1.5,O-ring set,0.868,0.91,0.81,0.9,0.86
WO-00439,EQ-0015,Conveyor Belt,Plant B - Line 1,2022-12-03,"Excessive vibration on pump casing, amplitude 11.6 mm/s at 1500 RPM",vibration,9,Cluster 9,Medium,65.0,15.7,2.0,Impeller,0.688,0.47,0.7,0.8,0.8
WO-00440,EQ-0007,Heat Exchanger,Utilities Block,2022-09-02,"Automatic lubrication system failed, manual greasing required",lubrication,12,Cluster 12,Low,173.0,11.5,10.4,Bearing 6205-2RS,0.777,0.54,0.87,0.93,0.74
WO-00441,EQ-0034,Air Compressor,Plant B - Line 1,2023-04-13,"Bearing play exceeding tolerance, axial movement of 2.03mm observed",bearing_wear,11,Cluster 11,Medium,,4.4,5.4,Coupling insert,0.676,0.98,0.55,0.72,0.43
WO-00442,EQ-0030,Gearbox,Plant A - Line 1,2022-08-22,"Earth leakage current 31.1mA detected, isolation check required",electrical_fault,5,Electrical Fault,High,79.0,2.1,2.3,Coupling insert,0.743,0.74,0.78,0.88,0.52
WO-00443,EQ-0046,Electric Motor,Plant B - Line 3,2023-07-06,"Misalignment between motor and gearbox shaft, 7.8 mm/s 2X vibration",vibration,2,Mechanical Seal Leak,Medium,159.0,11.3,3.4,None - monitoring,0.662,0.9,0.49,0.67,0.61
WO-00444,EQ-0009,Cooling Tower,Plant A - Line 1,2023-07-19,"Oil level low in gearbox sight glass, top-up of 5.0L required. Additionally, o-ring compression set failure, intermittent leak under high pressure",lubrication,7,Cluster 7,Low,,3.5,1.0,None - monitoring,0.882,0.74,0.93,0.99,0.85
WO-00445,EQ-0046,Electric Motor,Plant B - Line 3,2022-04-09,"Rust deposits blocking strainer, pressure differential 27 PSI across filter",corrosion,4,Lubrication Issue,Low,,12.7,9.7,Capacitor 40µF,0.76,0.52,0.88,0.8,0.83
WO-00446,EQ-0046,Electric Motor,Plant B - Line 3,2022-12-22,"VFD fault code F22 logged, overcurrent on deceleration",electrical_fault,7,Cluster 7,High,38.0,1.5,0.8,Oil filter + 5L oil,0.845,0.96,0.84,0.86,0.69
WO-00447,EQ-0046,Electric Motor,Plant B - Line 3,2022-01-07,Internal corrosion found on heat exchanger tubes during inspection,corrosion,8,Cluster 8,Low,,1.3,1.5,Mechanical seal kit,0.604,0.84,0.44,0.53,0.65
WO-00448,EQ-0011,Cooling Tower,Plant A - Line 1,2023-12-15,"Phase imbalance detected, current draw 36% higher on L2",electrical_fault,5,Electrical Fault,High,88.0,3.3,1.5,None - monitoring,0.716,0.92,0.7,0.59,0.64
WO-00449,EQ-0015,Conveyor Belt,Plant B - Line 1,2023-06-26,Electrical cabinet temperature 105°C due to failed ventilation fan,overheating,2,Mechanical Seal Leak,High,84.0,6.5,0.3,Coupling insert,0.818,0.9,0.97,0.59,0.77
WO-00450,EQ-0012,Conveyor Belt,Warehouse C,2023-09-20,"Misalignment between motor and gearbox shaft, 16.6 mm/s 2X vibration. Additionally, capacitor bank showing reduced capacitance, power factor 0.83 below target",vibration,2,Mechanical Seal Leak,Medium,,15.0,20.9,None - monitoring,0.799,0.85,0.97,0.83,0.44
WO-00451,EQ-0016,Air Compressor,Warehouse C,2023-06-24,"Cooling fan obstructed by debris, motor surface temperature 117°C",overheating,2,Mechanical Seal Leak,High,180.0,8.7,5.1,Contactor 3RT2,0.605,0.5,0.48,0.88,0.58
WO-00453,EQ-0020,Electric Motor,Warehouse C,2022-12-05,"Heat exchanger fouling reducing efficiency, outlet temp 99°C above setpoint. Additionally, hydraulic fluid leak at cylinder rod seal, 151 ml/hr estimated loss",overheating,8,Cluster 8,High,,15.8,19.6,None - monitoring,0.544,0.33,0.49,0.62,0.8
WO-00454,EQ-0028,Air Compressor,Utilities Block,2023-09-07,"Earth leakage current 5.8mA detected, isolation check required",electrical_fault,5,Electrical Fault,High,178.0,6.6,6.9,O-ring set,0.648,0.76,0.53,0.82,0.47
WO-00455,EQ-0032,Electric Motor,Plant A - Line 2,2022-03-30,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,11,Cluster 11,Medium,128.0,3.6,2.8,Impeller,0.557,0.64,0.47,0.52,0.63
WO-00456,EQ-0006,Gearbox,Warehouse C,2022-02-14,"Coating failure on tank exterior, rust streaks visible below insulation",corrosion,7,Cluster 7,Low,40.0,5.8,8.3,Coupling insert,0.695,0.62,0.94,0.53,0.63
WO-00457,EQ-0019,Centrifugal Pump,Plant B - Line 1,2022-03-01,"Unbalance detected on rotating assembly, vibration 7.4 mm/s 1X component. Additionally, surface corrosion on pipe flanges, pitting depth approx 1.34mm",vibration,3,Overheating,Medium,,12.4,2.2,Bearing 6205-2RS,0.7,0.69,0.44,0.82,0.95
WO-00458,EQ-0037,Gearbox,Warehouse C,2022-08-18,"Misalignment between motor and gearbox shaft, 9.2 mm/s 2X vibration",vibration,2,Mechanical Seal Leak,Medium,164.0,11.8,17.0,Oil filter + 5L oil,0.72,0.92,0.62,0.51,0.88
WO-00459,EQ-0010,Hydraulic Press,Plant A - Line 1,2022-12-12,"Bearing play exceeding tolerance, axial movement of 2.21mm observed",bearing_wear,11,Cluster 11,Medium,103.0,2.6,2.1,Contactor 3RT2,0.833,0.8,0.74,0.97,0.84
WO-00460,EQ-0040,Gearbox,Plant A - Line 1,2023-10-01,"Overheating on drive-end bearing, infrared scan shows hot spot at 100°C",overheating,11,Cluster 11,High,52.0,3.9,3.2,None - monitoring,0.762,0.96,0.66,0.97,0.41
WO-00461,EQ-0014,Cooling Tower,Plant B - Line 1,2023-09-18,Electrical cabinet temperature 76°C due to failed ventilation fan,overheating,2,Mechanical Seal Leak,High,,10.0,11.0,Mechanical seal kit,0.657,0.85,0.45,0.5,0.92
WO-00462,EQ-0004,Electric Motor,Warehouse C,2022-04-14,"Mechanical seal leaking at shaft interface, fluid loss approx 59 ml/hr",seal_leak,1,Vibration & Imbalance,Medium,,3.0,4.0,None - monitoring,0.703,0.38,0.95,0.7,0.74
WO-00463,EQ-0041,Conveyor Belt,Plant A - Line 1,2023-08-24,"Heat exchanger fouling reducing efficiency, outlet temp 109°C above setpoint",overheating,8,Cluster 8,High,,13.2,18.4,O-ring set,0.623,0.61,0.41,0.75,0.8
WO-00464,EQ-0023,Cooling Tower,Warehouse C,2022-03-27,"Oil level low in gearbox sight glass, top-up of 1.9L required",lubrication,2,Mechanical Seal Leak,Low,127.0,0.7,0.9,O-ring set,0.693,0.56,0.55,0.76,0.99
WO-00465,EQ-0002,Heat Exchanger,Utilities Block,2022-05-14,"Unbalance detected on rotating assembly, vibration 13.2 mm/s 1X component",vibration,3,Overheating,Medium,,14.9,0.2,Bearing 6205-2RS,0.594,0.51,0.52,0.74,0.63
WO-00466,EQ-0045,Heat Exchanger,Utilities Block,2023-11-19,"Earth leakage current 58.9mA detected, isolation check required",electrical_fault,5,Electrical Fault,High,171.0,14.7,19.0,Bearing 6205-2RS,0.707,0.87,0.88,0.55,0.44
WO-00467,EQ-0024,Heat Exchanger,Warehouse C,2023-10-03,"Metal particles found in oil sample, bearing degradation confirmed. Additionally, unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,5,Electrical Fault,Medium,122.0,13.2,14.0,O-ring set,0.794,0.63,0.84,0.8,0.92
WO-00468,EQ-0029,Conveyor Belt,Plant A - Line 1,2023-08-30,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,5,Electrical Fault,Medium,106.0,8.4,3.6,Oil filter + 5L oil,0.822,0.88,0.84,0.77,0.79
WO-00469,EQ-0044,Electric Motor,Plant B - Line 1,2022-04-01,"O-ring compression set failure, intermittent leak under high pressure",seal_leak,7,Cluster 7,Medium,93.0,11.3,10.3,Oil filter + 5L oil,0.728,0.81,0.59,0.68,0.89
WO-00470,EQ-0024,Heat Exchanger,Warehouse C,2023-04-09,"Impeller damage suspected, broadband vibration increase 18.0 mm/s",vibration,3,Overheating,Medium,99.0,7.0,0.3,Coupling insert,0.685,0.57,0.92,0.57,0.62
WO-00471,EQ-0028,Air Compressor,Utilities Block,2023-07-17,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,10,Cluster 10,Low,49.0,8.0,8.7,None - monitoring,0.723,0.96,0.5,0.98,0.44
WO-00472,EQ-0007,Heat Exchanger,Utilities Block,2023-03-16,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient",bearing_wear,12,Cluster 12,Medium,,9.8,7.8,Coupling insert,0.857,0.86,0.92,0.68,0.98
WO-00473,EQ-0005,Electric Motor,Utilities Block,2023-08-10,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient",bearing_wear,12,Cluster 12,Medium,,4.0,3.6,Contactor 3RT2,0.634,0.64,0.68,0.51,0.71
WO-00474,EQ-0007,Heat Exchanger,Utilities Block,2023-05-01,"Cooling fan obstructed by debris, motor surface temperature 104°C",overheating,2,Mechanical Seal Leak,High,163.0,0.5,0.3,Impeller,0.816,0.69,0.87,0.98,0.69
WO-00475,EQ-0021,Gearbox,Plant B - Line 3,2023-03-10,"Cavitation noise and vibration in pump, inlet pressure below NPSH",vibration,4,Lubrication Issue,Medium,,13.7,6.1,O-ring set,0.588,0.51,0.42,0.82,0.65
WO-00476,EQ-0024,Heat Exchanger,Warehouse C,2022-02-05,"Cooling fan obstructed by debris, motor surface temperature 93°C. Additionally, unusual noise detected in bearing housing, suspected wear on inner race",overheating,5,Electrical Fault,High,,5.5,6.2,Capacitor 40µF,0.564,0.34,0.83,0.57,0.44
WO-00477,EQ-0005,Electric Motor,Utilities Block,2023-10-20,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,5,Electrical Fault,Medium,,11.3,9.3,Contactor 3RT2,0.646,0.61,0.47,0.96,0.56
WO-00479,EQ-0032,Electric Motor,Plant A - Line 2,2022-06-13,"Bearing vibration amplitude 7.9 mm/s RMS, trending upward over last 13 days",bearing_wear,3,Overheating,Medium,,12.2,4.7,Coupling insert,0.766,0.93,0.64,0.83,0.67
WO-00480,EQ-0029,Conveyor Belt,Plant A - Line 1,2023-12-08,Belt tension incorrect causing vibration and premature wear,vibration,0,Bearing Wear & Noise,Medium,,14.2,17.4,Impeller,0.7,0.34,0.78,0.78,0.93
WO-00481,EQ-0017,Electric Motor,Plant A - Line 2,2023-09-04,"Mechanical seal leaking at shaft interface, fluid loss approx 57 ml/hr",seal_leak,1,Vibration & Imbalance,Medium,171.0,13.8,5.1,Mechanical seal kit,0.888,0.92,0.91,0.81,0.91
WO-00482,EQ-0018,Electric Motor,Utilities Block,2022-11-01,"Oil analysis shows high iron content 88 ppm, internal wear indicated",lubrication,11,Cluster 11,Low,,14.4,6.5,Impeller,0.845,0.95,0.93,0.9,0.52
WO-00483,EQ-0041,Conveyor Belt,Plant A - Line 1,2022-02-15,"Earth leakage current 59.4mA detected, isolation check required. Additionally, motor winding resistance out of tolerance, possible turn-to-turn short",electrical_fault,11,Cluster 11,High,,15.4,20.2,Impeller,0.684,0.44,0.56,0.84,0.98
WO-00484,EQ-0013,Electric Motor,Plant B - Line 1,2023-04-29,"Seal face wear visible during inspection, scoring on stationary ring",seal_leak,7,Cluster 7,Medium,96.0,10.7,6.0,Capacitor 40µF,0.619,0.4,0.84,0.67,0.5
WO-00485,EQ-0026,Cooling Tower,Warehouse C,2023-04-07,"Heat exchanger fouling reducing efficiency, outlet temp 114°C above setpoint",overheating,8,Cluster 8,High,,13.9,3.4,Coupling insert,0.793,0.65,0.92,0.81,0.76
WO-00486,EQ-0035,Electric Motor,Warehouse C,2022-08-13,"Belt tension incorrect causing vibration and premature wear. Additionally, earth leakage current 67.7ma detected, isolation check required",vibration,0,Bearing Wear & Noise,Medium,105.0,11.2,16.6,Impeller,0.734,0.41,0.82,0.88,0.83
WO-00487,EQ-0033,Centrifugal Pump,Warehouse C,2022-11-08,"Galvanic corrosion at dissimilar metal joint, wall thickness reduced. Additionally, o-ring compression set failure, intermittent leak under high pressure",corrosion,7,Cluster 7,Low,151.0,14.8,14.1,Bearing 6205-2RS,0.802,0.78,0.99,0.75,0.61
WO-00488,EQ-0017,Electric Motor,Plant A - Line 2,2023-02-25,"Capacitor bank showing reduced capacitance, power factor 0.84 below target. Additionally, hydraulic fluid leak at cylinder rod seal, 102 ml/hr estimated loss",electrical_fault,8,Cluster 8,High,176.0,2.5,3.2,Capacitor 40µF,0.709,0.61,0.7,0.73,0.82
WO-00489,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-12-05,"Chemical attack on pump impeller, material loss estimated 38%",corrosion,8,Cluster 8,Low,20.0,3.6,2.6,None - monitoring,0.884,0.84,0.88,0.95,0.86
WO-00490,EQ-0003,Cooling Tower,Plant A - Line 1,2023-12-17,"Oil seepage observed around pump casing seal, minor pooling on floor",seal_leak,9,Cluster 9,Medium,135.0,14.4,8.0,Mechanical seal kit,0.617,0.59,0.42,0.72,0.82
WO-00491,EQ-0005,Electric Motor,Utilities Block,2022-09-27,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient",bearing_wear,12,Cluster 12,Medium,169.0,3.4,2.1,Bearing 6205-2RS,0.568,0.46,0.49,0.57,0.82
WO-00492,EQ-0001,Air Compressor,Plant A - Line 1,2023-05-06,"Compressor discharge temperature 115°C, intercooler bypass suspected",overheating,2,Mechanical Seal Leak,High,45.0,6.5,6.2,Mechanical seal kit,0.616,0.4,0.48,0.75,0.92
WO-00493,EQ-0005,Electric Motor,Utilities Block,2023-01-18,"Excessive vibration on pump casing, amplitude 12.0 mm/s at 1000 RPM",vibration,9,Cluster 9,Medium,156.0,13.5,4.6,Impeller,0.836,0.73,0.87,0.94,0.79
WO-00494,EQ-0049,Cooling Tower,Utilities Block,2022-10-15,"Unbalance detected on rotating assembly, vibration 10.0 mm/s 1X component",vibration,3,Overheating,Medium,88.0,5.2,4.2,Oil filter + 5L oil,0.784,0.9,0.68,0.74,0.85
WO-00495,EQ-0045,Heat Exchanger,Utilities Block,2022-10-02,"Cavitation noise and vibration in pump, inlet pressure below NPSH",vibration,4,Lubrication Issue,Medium,,14.1,12.6,Coupling insert,0.672,0.95,0.59,0.62,0.51
WO-00496,EQ-0020,Electric Motor,Warehouse C,2022-07-29,"High-pitched squealing noise from bearing assembly, lubrication appears insufficient",bearing_wear,12,Cluster 12,Medium,,9.5,2.5,Contactor 3RT2,0.703,0.44,0.87,0.92,0.51
WO-00498,EQ-0009,Cooling Tower,Plant A - Line 1,2023-09-11,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,10,Cluster 10,Low,69.0,14.9,7.9,O-ring set,0.625,0.32,0.75,0.88,0.5
WO-00499,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-01-29,"Lip seal deteriorated, grease escaping from gearbox output shaft. Additionally, dynamic seal failure suspected, pressure drop of 29% noted in system",seal_leak,7,Cluster 7,Medium,,12.1,0.4,Contactor 3RT2,0.802,0.92,0.69,0.89,0.71
WO-00500,EQ-0021,Gearbox,Plant B - Line 3,2023-02-19,"Metal particles found in oil sample, bearing degradation confirmed",bearing_wear,11,Cluster 11,Medium,75.0,14.4,8.2,Bearing 6205-2RS,0.71,0.78,0.74,0.82,0.44
WO-00501,EQ-0046,Electric Motor,Plant B - Line 3,2022-02-21,"Galvanic corrosion at dissimilar metal joint, wall thickness reduced. Additionally, wrong lubricant grade used during last service, compatibility issue",corrosion,6,Corrosion & Erosion,Low,135.0,14.9,10.1,O-ring set,0.744,0.9,0.57,0.96,0.54
WO-00502,EQ-0020,Electric Motor,Warehouse C,2022-01-09,"Unusual noise detected in bearing housing, suspected wear on inner race. Additionally, surface corrosion on pipe flanges, pitting depth approx 1.95mm",bearing_wear,5,Electrical Fault,Medium,44.0,12.4,9.5,Capacitor 40µF,0.52,0.65,0.43,0.57,0.43
WO-00503,EQ-0010,Hydraulic Press,Plant A - Line 1,2023-09-13,"Internal corrosion found on heat exchanger tubes during inspection. Additionally, unbalance detected on rotating assembly, vibration 10.5 mm/s 1x component",corrosion,3,Overheating,Low,104.0,12.2,9.6,O-ring set,0.702,0.65,0.7,0.9,0.52
WO-00504,EQ-0039,Hydraulic Press,Plant B - Line 3,2023-04-06,"Automatic lubrication system failed, manual greasing required",lubrication,12,Cluster 12,Low,,12.8,14.4,None - monitoring,0.525,0.47,0.41,0.61,0.66
WO-00505,EQ-0032,Electric Motor,Plant A - Line 2,2023-11-01,Electrical cabinet temperature 94°C due to failed ventilation fan,overheating,2,Mechanical Seal Leak,High,,1.7,0.7,Capacitor 40µF,0.816,0.63,0.96,0.93,0.69
WO-00506,EQ-0023,Cooling Tower,Warehouse C,2023-09-20,"Dynamic seal failure suspected, pressure drop of 40% noted in system",seal_leak,7,Cluster 7,Medium,160.0,5.6,3.1,Mechanical seal kit,0.81,0.92,0.86,0.72,0.71
WO-00507,EQ-0043,Air Compressor,Plant A - Line 1,2023-02-08,Corrosion under insulation (CUI) suspected on horizontal pipe section,corrosion,10,Cluster 10,Low,12.0,5.2,7.4,None - monitoring,0.696,0.7,0.65,0.91,0.49
